Column #,Column ID,gene_assignment,Gene Symbol,RefSeq,Ratio(C42B vs. E06),"Fold-Change
(C42B vs. E06)","Fold-Change(C42B vs. E06)
 (Description)"
36628,16990201,NR_026704 // VTRNA1-2 // vault RNA 1-2 // 5q31.3 // 56663 /// ENST00000365241 // VTRNA1,VTRNA1-2,NR_026704,0.00799026,-125.152,C42B down vs E06
50317,17119950,XR_424066 // LOC101059949 // ankyrin repeat domain-containing protein 20A2-like // --- ,LOC101059949,XR_424066,0.0100411,-99.5906,C42B down vs E06
23305,16855322,"ENST00000384425 // RNU1-46P // RNA, U1 small nuclear 46, pseudogene // --- // ---",RNU1-46P,ENST00000384425,0.0551164,-18.1434,C42B down vs E06
7113,16694359,NR_003005 // SCARNA4 // small Cajal body-specific RNA 4 // 1q22 // 677771 /// ENST00000,SCARNA4,NR_003005,0.0556656,-17.9644,C42B down vs E06
25280,16874643,"NR_003067 // SNORD88A // small nucleolar RNA, C/D box 88A // 19q13.33 // 692202 /// ENS",SNORD88A,NR_003067,0.0558331,-17.9105,C42B down vs E06
14253,16768014,"NM_001220473 // PPFIA2 // protein tyrosine phosphatase, receptor type, f polypeptide (P",PPFIA2,NM_001220473,0.0574859,-17.3956,C42B down vs E06
6495,16688022,"ENST00000364283 // RNU6-371P // RNA, U6 small nuclear 371, pseudogene // --- // ---",RNU6-371P,ENST00000364283,0.0584687,-17.1032,C42B down vs E06
42015,17045836,"ENST00000365480 // RNU6-326P // RNA, U6 small nuclear 326, pseudogene // --- // ---",RNU6-326P,ENST00000365480,0.0592634,-16.8738,C42B down vs E06
19793,16820841,"ENST00000408798 // RNU6ATAC25P // RNA, U6atac small nuclear 25, pseudogene // --- // --",RNU6ATAC25P,ENST00000408798,0.059411,-16.8319,C42B down vs E06
39376,17015472,NR_003703 // SCARNA27 // small Cajal body-specific RNA 27 // 6p24.3 // 100124533 /// uc,SCARNA27,NR_003703,0.0599497,-16.6806,C42B down vs E06
42049,17046094,"ENST00000362759 // RNU1-14P // RNA, U1 small nuclear 14, pseudogene // --- // ---",RNU1-14P,ENST00000362759,0.0607684,-16.4559,C42B down vs E06
36580,16989863,"NR_002915 // SNORA74A // small nucleolar RNA, H/ACA box 74A // 5q31.2 // 26821 /// ENST",SNORA74A,NR_002915,0.0634346,-15.7643,C42B down vs E06
30426,16925872,"NM_001135099 // TMPRSS2 // transmembrane protease, serine 2 // 21q22.3 // 7113 /// NM_0",TMPRSS2,NM_001135099,0.0650407,-15.375,C42B down vs E06
17901,16800297,"ENST00000364266 // RNU6-353P // RNA, U6 small nuclear 353, pseudogene // --- // ---",RNU6-353P,ENST00000364266,0.0659555,-15.1617,C42B down vs E06
47918,17103679,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098406 // GA,GAGE12F,NM_001098405,0.0663939,-15.0616,C42B down vs E06
23626,16858118,"NR_004381 // SNORD105 // small nucleolar RNA, C/D box 105 // 19p13.2 // 692229 /// ENST",SNORD105,NR_004381,0.0672149,-14.8777,C42B down vs E06
3711,16658664,"NM_032315 // SLC25A33 // solute carrier family 25 (pyrimidine nucleotide carrier), memb",SLC25A33,NM_032315,0.0675307,-14.8081,C42B down vs E06
37484,16997793,NR_003139 // SCARNA18 // small Cajal body-specific RNA 18 // 5q14.2 // 677765 /// ENST0,SCARNA18,NR_003139,0.0679124,-14.7248,C42B down vs E06
33389,16958972,"NR_002992 // SNORA7B // small nucleolar RNA, H/ACA box 7B // 3q21.3 // 677797 /// ENST0",SNORA7B,NR_002992,0.0679129,-14.7247,C42B down vs E06
50173,17119488,"NR_002960 // SNORA20 // small nucleolar RNA, H/ACA box 20 // 6q25.3 // 677806 /// ENST0",SNORA20,NR_002960,0.068566,-14.5845,C42B down vs E06
39441,17016025,"ENST00000364087 // RNU6-801P // RNA, U6 small nuclear 801, pseudogene // --- // ---",RNU6-801P,ENST00000364087,0.068772,-14.5408,C42B down vs E06
38178,17004612,NM_001008844 // DSP // desmoplakin // 6p24 // 1832 /// NM_004415 // DSP // desmoplakin ,DSP,NM_001008844,0.0689694,-14.4992,C42B down vs E06
46294,17088067,NM_001007169 // ZNF483 // zinc finger protein 483 // 9q31.3 // 158399 /// NM_133464 // ,ZNF483,NM_001007169,0.0709805,-14.0884,C42B down vs E06
17636,16798146,"NR_003320 // SNORD116-5 // small nucleolar RNA, C/D box 116-5 // 15q11.2 // 100033417 /",SNORD116-5,NR_003320,0.0711914,-14.0466,C42B down vs E06
17638,16798150,"NR_003320 // SNORD116-5 // small nucleolar RNA, C/D box 116-5 // 15q11.2 // 100033417 /",SNORD116-5,NR_003320,0.0711914,-14.0466,C42B down vs E06
43135,17057462,"NR_002991 // SNORA5C // small nucleolar RNA, H/ACA box 5C // 7p13 // 677796 /// ENST000",SNORA5C,NR_002991,0.0714934,-13.9873,C42B down vs E06
45413,17079434,"NR_002581 // SNORA72 // small nucleolar RNA, H/ACA box 72 // 8q22 // 26775 /// ENST0000",SNORA72,NR_002581,0.0716236,-13.9619,C42B down vs E06
9785,16720878,"ENST00000384578 // RNU6-878P // RNA, U6 small nuclear 878, pseudogene // --- // ---",RNU6-878P,ENST00000384578,0.0719613,-13.8964,C42B down vs E06
6864,16691877,"NR_121646 // RNU1-13P // RNA, U1 small nuclear 13, pseudogene // 1q21.1 // 26860 /// EN",RNU1-13P,NR_121646,0.0722154,-13.8475,C42B down vs E06
6912,16692446,"NR_121646 // RNU1-13P // RNA, U1 small nuclear 13, pseudogene // 1q21.1 // 26860 /// EN",RNU1-13P,NR_121646,0.0722154,-13.8475,C42B down vs E06
37494,16997843,"ENST00000384286 // RNU6-804P // RNA, U6 small nuclear 804, pseudogene // --- // ---",RNU6-804P,ENST00000384286,0.0728544,-13.726,C42B down vs E06
47843,17102829,NM_000240 // MAOA // monoamine oxidase A // Xp11.3 // 4128 /// NM_001270458 // MAOA // ,MAOA,NM_000240,0.0732231,-13.6569,C42B down vs E06
17626,16798083,"NR_001289 // SNORD109B // small nucleolar RNA, C/D box 109B // 15q11.2 // 338429 /// NR",SNORD109B,NR_001289,0.0738748,-13.5364,C42B down vs E06
17734,16798440,"NR_001289 // SNORD109B // small nucleolar RNA, C/D box 109B // 15q11.2 // 338429 /// NR",SNORD109B,NR_001289,0.0738748,-13.5364,C42B down vs E06
32146,16944524,NM_014980 // STXBP5L // syntaxin binding protein 5-like // 3q13.33 // 9515 /// ENST0000,STXBP5L,NM_014980,0.0739102,-13.5299,C42B down vs E06
47912,17103647,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098406 // GA,GAGE12F,NM_001098405,0.0743169,-13.4559,C42B down vs E06
6156,16684140,"ENST00000517196 // RNU6-176P // RNA, U6 small nuclear 176, pseudogene // --- // ---",RNU6-176P,ENST00000517196,0.0749929,-13.3346,C42B down vs E06
25888,16880372,"ENST00000363937 // RNU1-32P // RNA, U1 small nuclear 32, pseudogene // --- // ---",RNU1-32P,ENST00000363937,0.0756014,-13.2273,C42B down vs E06
49959,17118774,"NR_002917 // SNORA19 // small nucleolar RNA, H/ACA box 19 // 10q26 // 641451 /// ENST00",SNORA19,NR_002917,0.076829,-13.0159,C42B down vs E06
47917,17103673,NM_001040663 // GAGE1 // G antigen 1 // Xp11.23 // 2543 /// NM_001098405 // GAGE12F // ,GAGE1,NM_001040663,0.077611,-12.8848,C42B down vs E06
47910,17103620,NM_001098408 // GAGE12C // G antigen 12C // Xp11.23 // 729422 /// NM_001098410 // GAGE1,GAGE12C,NM_001098408,0.077611,-12.8848,C42B down vs E06
18667,16808696,"NM_013309 // SLC30A4 // solute carrier family 30 (zinc transporter), member 4 // 15q21.",SLC30A4,NM_013309,0.0796331,-12.5576,C42B down vs E06
17670,16798236,"NR_003360 // SNORD116-29 // small nucleolar RNA, C/D box 116-29 // 15q11.2 // 100033821",SNORD116-29,NR_003360,0.0797675,-12.5364,C42B down vs E06
39033,17012163,"ENST00000363062 // RNU1-18P // RNA, U1 small nuclear 18, pseudogene // --- // ---",RNU1-18P,ENST00000363062,0.0808231,-12.3727,C42B down vs E06
47919,17103690,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098408 // GA,GAGE12F,NM_001098405,0.0813538,-12.292,C42B down vs E06
39008,17012034,"ENST00000363378 // RNA5SP214 // RNA, 5S ribosomal pseudogene 214 // --- // ---",RNA5SP214,ENST00000363378,0.0823897,-12.1374,C42B down vs E06
47914,17103655,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098408 // GA,GAGE12F,NM_001098405,0.0827276,-12.0879,C42B down vs E06
47915,17103661,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098408 // GA,GAGE12F,NM_001098405,0.0827276,-12.0879,C42B down vs E06
47916,17103667,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098408 // GA,GAGE12F,NM_001098405,0.0827276,-12.0879,C42B down vs E06
4964,16671403,"ENST00000410525 // RNU6-121P // RNA, U6 small nuclear 121, pseudogene // --- // ---",RNU6-121P,ENST00000410525,0.082807,-12.0763,C42B down vs E06
33675,16961947,"ENST00000362969 // RNA5SP150 // RNA, 5S ribosomal pseudogene 150 // --- // ---",RNA5SP150,ENST00000362969,0.0830297,-12.0439,C42B down vs E06
17735,16798442,"ENST00000410191 // RNA5SP390 // RNA, 5S ribosomal pseudogene 390 // --- // ---",RNA5SP390,ENST00000410191,0.0832774,-12.0081,C42B down vs E06
47909,17103614,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098406 // GA,GAGE12F,NM_001098405,0.0833778,-11.9936,C42B down vs E06
38725,17009661,"ENST00000384181 // RNU1-136P // RNA, U1 small nuclear 136, pseudogene // --- // ---",RNU1-136P,ENST00000384181,0.0843328,-11.8578,C42B down vs E06
34469,16969988,"ENST00000384093 // RNU1-138P // RNA, U1 small nuclear 138, pseudogene // --- // ---",RNU1-138P,ENST00000384093,0.0844284,-11.8444,C42B down vs E06
22328,16846359,"ENST00000364033 // RNU1-42P // RNA, U1 small nuclear 42, pseudogene // --- // ---",RNU1-42P,ENST00000364033,0.0849042,-11.778,C42B down vs E06
47963,17104049,"NR_002953 // SNORA11 // small nucleolar RNA, H/ACA box 11 // Xp11.21 // 677799 /// ENST",SNORA11,NR_002953,0.0851406,-11.7453,C42B down vs E06
34098,16966210,"ENST00000363585 // RNU6-1112P // RNA, U6 small nuclear 1112, pseudogene // --- // ---",RNU6-1112P,ENST00000363585,0.085763,-11.66,C42B down vs E06
7728,16700552,"ENST00000384108 // RNU1-74P // RNA, U1 small nuclear 74, pseudogene // --- // ---",RNU1-74P,ENST00000384108,0.0864284,-11.5703,C42B down vs E06
40095,17022612,"ENST00000384700 // RNU6-906P // RNA, U6 small nuclear 906, pseudogene // --- // ---",RNU6-906P,ENST00000384700,0.0883213,-11.3223,C42B down vs E06
25708,16878583,"NR_003074 // SNORD92 // small nucleolar RNA, C/D box 92 // 2p23.2 // 692209 /// ENST000",SNORD92,NR_003074,0.0887517,-11.2674,C42B down vs E06
22820,16851303,NR_036153 // MIR3156-2 // microRNA 3156-2 // --- // 100422907 /// NR_036164 // MIR3156-,MIR3156-2,NR_036153,0.0889172,-11.2464,C42B down vs E06
44475,17070949,NM_001034915 // ESRP1 // epithelial splicing regulatory protein 1 // 8q22.1 // 54845 //,ESRP1,NM_001034915,0.0890277,-11.2325,C42B down vs E06
47913,17103653,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098406 // GA,GAGE12F,NM_001098405,0.0890633,-11.228,C42B down vs E06
35156,16976131,"ENST00000362686 // RNA5SP361 // RNA, 5S ribosomal pseudogene 361 // --- // ---",RNA5SP361,ENST00000362686,0.0900303,-11.1074,C42B down vs E06
17635,16798144,"NR_003318 // SNORD116-3 // small nucleolar RNA, C/D box 116-3 // 15q11.2 // 100033415 /",SNORD116-3,NR_003318,0.0903261,-11.071,C42B down vs E06
17639,16798152,"NR_003318 // SNORD116-3 // small nucleolar RNA, C/D box 116-3 // 15q11.2 // 100033415 /",SNORD116-3,NR_003318,0.0903259,-11.071,C42B down vs E06
17640,16798154,"NR_003318 // SNORD116-3 // small nucleolar RNA, C/D box 116-3 // 15q11.2 // 100033415 /",SNORD116-3,NR_003318,0.0903261,-11.071,C42B down vs E06
46695,17092710,NR_003009 // SCARNA8 // small Cajal body-specific RNA 8 // 9p22.1 // 677776 /// ENST000,SCARNA8,NR_003009,0.090712,-11.0239,C42B down vs E06
17314,16795366,"NR_003021 // SNORA79 // small nucleolar RNA, H/ACA box 79 // 14q31.1 // 677845 /// ENST",SNORA79,NR_003021,0.0909934,-10.9898,C42B down vs E06
50046,17119028,"ENST00000517246 // RNA5SP415 // RNA, 5S ribosomal pseudogene 415 // --- // ---",RNA5SP415,ENST00000517246,0.0917641,-10.8975,C42B down vs E06
44534,17071497,NM_024915 // GRHL2 // grainyhead-like 2 (Drosophila) // 8q22.3 // 79977 /// ENST0000025,GRHL2,NM_024915,0.0917919,-10.8942,C42B down vs E06
40611,17027880,"NR_002971 // SNORA38 // small nucleolar RNA, H/ACA box 38 // 6p21.33 // 677820 /// ENST",SNORA38,NR_002971,0.0921053,-10.8571,C42B down vs E06
41025,17033410,"NR_002971 // SNORA38 // small nucleolar RNA, H/ACA box 38 // 6p21.33 // 677820 /// ENST",SNORA38,NR_002971,0.0921053,-10.8571,C42B down vs E06
41395,17038203,"NR_002971 // SNORA38 // small nucleolar RNA, H/ACA box 38 // 6p21.33 // 677820 /// ENST",SNORA38,NR_002971,0.0921053,-10.8571,C42B down vs E06
41593,17040798,"NR_002971 // SNORA38 // small nucleolar RNA, H/ACA box 38 // 6p21.33 // 677820 /// ENST",SNORA38,NR_002971,0.0921053,-10.8571,C42B down vs E06
10670,16729875,NM_153696 // FOLH1B // folate hydrolase 1B // 11q14.3 // 219595 /// ENST00000525540 // ,FOLH1B,NM_153696,0.0933867,-10.7082,C42B down vs E06
10651,16729710,"ENST00000364007 // RNU6-560P // RNA, U6 small nuclear 560, pseudogene // --- // ---",RNU6-560P,ENST00000364007,0.093882,-10.6517,C42B down vs E06
6919,16692555,"NR_104076 // RNVU1-15 // RNA, variant U1 small nuclear 15 // 1q21.2 // 101954267 /// EN",RNVU1-15,NR_104076,0.0945003,-10.582,C42B down vs E06
53385,17126190,"NR_002958 // SNORA17 // small nucleolar RNA, H/ACA box 17 // 9q34.3 // 677804 /// NR_00",SNORA17,NR_002958,0.0948363,-10.5445,C42B down vs E06
28961,16912224,OTTHUMT00000078460 // RP13-401N8.1 // putative novel transcript // --- // ---,RP13-401N8.1,OTTHUMT00000078460,0.0960535,-10.4109,C42B down vs E06
50479,17120274,XR_246983 // LOC101927345 // uncharacterized LOC101927345 // --- // 101927345 /// XR_42,LOC101927345,XR_246983,0.0963027,-10.3839,C42B down vs E06
33429,16959505,"ENST00000364543 // RNA5SP141 // RNA, 5S ribosomal pseudogene 141 // --- // ---",RNA5SP141,ENST00000364543,0.0964222,-10.3711,C42B down vs E06
25255,16874373,"ENST00000383872 // RNU6-841P // RNA, U6 small nuclear 841, pseudogene // --- // ---",RNU6-841P,ENST00000383872,0.0975114,-10.2552,C42B down vs E06
18414,16805870,NR_027992 // NBEAP1 // neurobeachin pseudogene 1 // 15q11.2 // 606 /// ENST00000554452 ,NBEAP1,NR_027992,0.0978265,-10.2222,C42B down vs E06
45684,17082362,NM_031308 // EPPK1 // epiplakin 1 // 8q24.3 // 83481 /// OTTHUMT00000382675 // EPPK1 //,EPPK1,NM_031308,0.0979537,-10.2089,C42B down vs E06
36010,16983742,"ENST00000516078 // RNU6-760P // RNA, U6 small nuclear 760, pseudogene // --- // ---",RNU6-760P,ENST00000516078,0.0984686,-10.1555,C42B down vs E06
3900,16660652,"ENST00000516769 // RNU6-135P // RNA, U6 small nuclear 135, pseudogene // --- // ---",RNU6-135P,ENST00000516769,0.0999983,-10.0002,C42B down vs E06
50321,17119958,XR_246983 // LOC101927345 // uncharacterized LOC101927345 // --- // 101927345 /// XR_42,LOC101927345,XR_246983,0.100118,-9.98819,C42B down vs E06
23168,16854230,"ENST00000364982 // RNU6-702P // RNA, U6 small nuclear 702, pseudogene // --- // ---",RNU6-702P,ENST00000364982,0.10015,-9.98501,C42B down vs E06
29683,16919254,"ENST00000458857 // RNA5SP484 // RNA, 5S ribosomal pseudogene 484 // --- // ---",RNA5SP484,ENST00000458857,0.10018,-9.98203,C42B down vs E06
19578,16818580,"ENST00000517246 // RNA5SP415 // RNA, 5S ribosomal pseudogene 415 // --- // ---",RNA5SP415,ENST00000517246,0.101599,-9.84266,C42B down vs E06
18079,16802102,"NR_002757 // RNU5B-1 // RNA, U5B small nuclear 1 // 15q22.31 // 26832 /// ENST000003632",RNU5B-1,NR_002757,0.101716,-9.83134,C42B down vs E06
28247,16904022,"ENST00000365159 // RNU6-580P // RNA, U6 small nuclear 580, pseudogene // --- // ---",RNU6-580P,ENST00000365159,0.102231,-9.78172,C42B down vs E06
8057,16703561,"ENST00000384752 // RNU6-1067P // RNA, U6 small nuclear 1067, pseudogene // --- // ---",RNU6-1067P,ENST00000384752,0.104011,-9.61438,C42B down vs E06
39724,17018408,NM_001252294 // SPDEF // SAM pointed domain containing ETS transcription factor // 6p21,SPDEF,NM_001252294,0.105369,-9.49044,C42B down vs E06
3999,16661646,"NR_004407 // RNU11 // RNA, U11 small nuclear // 1p35 // 26824 /// ENST00000387069 // RN",RNU11,NR_004407,0.105519,-9.477,C42B down vs E06
36809,16992094,"ENST00000383887 // RNU6-477P // RNA, U6 small nuclear 477, pseudogene // --- // ---",RNU6-477P,ENST00000383887,0.105553,-9.47393,C42B down vs E06
53417,17126264,ENST00000387405 // MT-TC // mitochondrially encoded tRNA cysteine // --- // ---,MT-TC,ENST00000387405,0.10559,-9.47064,C42B down vs E06
12930,16753533,NM_178169 // RASSF3 // Ras association (RalGDS/AF-6) domain family member 3 // 12q14.2 ,RASSF3,NM_178169,0.106271,-9.40987,C42B down vs E06
50098,17119224,"NR_002590 // SNORA41 // small nucleolar RNA, H/ACA box 41 // 2q33 // 619569 /// ENST000",SNORA41,NR_002590,0.106604,-9.38049,C42B down vs E06
43131,17057422,"NR_002952 // SNORA9 // small nucleolar RNA, H/ACA box 9 // 7p13 // 677798 /// ENST00000",SNORA9,NR_002952,0.107104,-9.33674,C42B down vs E06
21179,16834630,"ENST00000516470 // RNU6-406P // RNA, U6 small nuclear 406, pseudogene // --- // ---",RNU6-406P,ENST00000516470,0.107142,-9.33342,C42B down vs E06
53240,17125822,"NM_031895 // CACNG8 // calcium channel, voltage-dependent, gamma subunit 8 // 19q13.4 /",CACNG8,NM_031895,0.108412,-9.22411,C42B down vs E06
40527,17026890,"NM_001178045 // SLC44A4 // solute carrier family 44, member 4 // 6p21.3 // 80736 /// NM",SLC44A4,NM_001178045,0.109213,-9.15641,C42B down vs E06
