Column #,Column ID,Species Scientific Name,Transcript ID(Array Design),"Fold-Change
(Group 1 vs. Group 2)","Fold-Change
(Group 1 vs. Group 2) (Description)"
63,ACA11_st,Homo sapiens,ACA11,2.56224,Group 1 up vs Group 2
66,ACA13_st,Homo sapiens,ACA13,3.11273,Group 1 up vs Group 2
1502,ENSG00000252277_st,Homo sapiens,ENSG00000252277,7.77359,Group 1 up vs Group 2
1503,ENSG00000252277_x_st,Homo sapiens,ENSG00000252277,7.454,Group 1 up vs Group 2
1628,ENSG00000252792_x_st,Homo sapiens,ENSG00000252792,2.05561,Group 1 up vs Group 2
1656,ENSG00000252921_st,Homo sapiens,ENSG00000252921,2.2312,Group 1 up vs Group 2
1657,ENSG00000252921_x_st,Homo sapiens,ENSG00000252921,2.33593,Group 1 up vs Group 2
1685,ENSG00000253049_st,Homo sapiens,ENSG00000253049,2.63147,Group 1 up vs Group 2
1721,ENSG00000263723_st,Homo sapiens,ENSG00000263723,2.52699,Group 1 up vs Group 2
1748,ENSG00000265651_s_st,Homo sapiens,ENSG00000265651,3.6844,Group 1 up vs Group 2
1771,ENSG00000266834_s_st,Homo sapiens,ENSG00000266834,2.83237,Group 1 up vs Group 2
1778,ENSG00000268237_x_st,Homo sapiens,ENSG00000268237,5.72645,Group 1 up vs Group 2
1799,HBI-6_x_st,Homo sapiens,HBI-6,2.33593,Group 1 up vs Group 2
1802,HBII-115_st,Homo sapiens,HBII-115,-2.83936,Group 1 down vs Group 2
1803,HBII-135_x_st,Homo sapiens,HBII-135,2.3567,Group 1 up vs Group 2
1806,HBII-142_st,Homo sapiens,HBII-142,30.2548,Group 1 up vs Group 2
1807,HBII-142_x_st,Homo sapiens,HBII-142,29.432,Group 1 up vs Group 2
1809,HBII-180A_x_st,Homo sapiens,HBII-180A,4.97169,Group 1 up vs Group 2
1811,HBII-180C_x_st,Homo sapiens,HBII-180C,11.9344,Group 1 up vs Group 2
1818,HBII-251_st,Homo sapiens,HBII-251,3.30539,Group 1 up vs Group 2
1828,HBII-382_s_st,Homo sapiens,HBII-382,9.58449,Group 1 up vs Group 2
1829,HBII-419_st,Homo sapiens,HBII-419,2.40987,Group 1 up vs Group 2
1831,HBII-429_st,Homo sapiens,HBII-429,3.35673,Group 1 up vs Group 2
1834,HBII-438A_s_st,Homo sapiens,HBII-438A,3.9763,Group 1 up vs Group 2
1835,HBII-438B_s_st,Homo sapiens,HBII-438B,3.9763,Group 1 up vs Group 2
1837,HBII-52-11_x_st,Homo sapiens,HBII-52-11,3.955,Group 1 up vs Group 2
1838,HBII-52-12_x_st,Homo sapiens,HBII-52-12,3.955,Group 1 up vs Group 2
1849,HBII-52-22_x_st,Homo sapiens,HBII-52-22,3.9412,Group 1 up vs Group 2
1853,HBII-52-26_x_st,Homo sapiens,HBII-52-26,3.955,Group 1 up vs Group 2
1854,HBII-52-29_x_st,Homo sapiens,HBII-52-29,3.955,Group 1 up vs Group 2
1862,HBII-52-36_x_st,Homo sapiens,HBII-52-36,3.955,Group 1 up vs Group 2
1871,HBII-52-43_x_st,Homo sapiens,HBII-52-43,3.955,Group 1 up vs Group 2
1880,HBII-52-9_x_st,Homo sapiens,HBII-52-9,3.955,Group 1 up vs Group 2
1903,HBII-85-26_st,Homo sapiens,HBII-85-26,3.85327,Group 1 up vs Group 2
1908,HBII-85-2_x_st,Homo sapiens,HBII-85-2,4.26663,Group 1 up vs Group 2
1912,HBII-85-6_x_st,Homo sapiens,HBII-85-6,4.3086,Group 1 up vs Group 2
1914,HBII-85-8_x_st,Homo sapiens,HBII-85-8,7.14401,Group 1 up vs Group 2
1920,HBII-99_st,Homo sapiens,HBII-99,-3.21861,Group 1 down vs Group 2
2413,MI0000760_st,Homo sapiens,hsa-mir-361,-2.40987,Group 1 down vs Group 2
2419,MI0000767_st,Homo sapiens,hsa-mir-365a,4.96767,Group 1 up vs Group 2
2420,MI0000767_x_st,Homo sapiens,hsa-mir-365a,4.96767,Group 1 up vs Group 2
2468,MI0000815_st,Homo sapiens,hsa-mir-339,2.14869,Group 1 up vs Group 2
2665,MI0001445_st,Homo sapiens,hsa-mir-423,-2.74433,Group 1 down vs Group 2
2768,MI0003166_s_st,Homo sapiens,hsa-mir-520g,2.20272,Group 1 up vs Group 2
2777,MI0003175_s_st,Homo sapiens,hsa-mir-520h,2.20272,Group 1 up vs Group 2
2987,MI0003669_st,Homo sapiens,hsa-mir-661,2.65233,Group 1 up vs Group 2
2990,MI0003672_x_st,Homo sapiens,hsa-mir-663a,6.41474,Group 1 up vs Group 2
3269,MI0005757_st,Homo sapiens,hsa-mir-935,6.41474,Group 1 up vs Group 2
3273,MI0005761_st,Homo sapiens,hsa-mir-939,4.72844,Group 1 up vs Group 2
3386,MI0006327_st,Homo sapiens,hsa-mir-1237,2.21932,Group 1 up vs Group 2
3391,MI0006336_st,Homo sapiens,hsa-mir-663b,3.34349,Group 1 up vs Group 2
3392,MI0006336_x_st,Homo sapiens,hsa-mir-663b,3.34349,Group 1 up vs Group 2
3403,MI0006346_st,Homo sapiens,hsa-mir-1285-1,2.04995,Group 1 up vs Group 2
3419,MI0006359_st,Homo sapiens,hsa-mir-1299,4.44336,Group 1 up vs Group 2
3495,MI0006428_st,Homo sapiens,hsa-mir-1281,2.87926,Group 1 up vs Group 2
3545,MI0008330_st,Homo sapiens,hsa-mir-1909,4.63474,Group 1 up vs Group 2
3549,MI0008334_st,Homo sapiens,hsa-mir-1913,2.44934,Group 1 up vs Group 2
3551,MI0008336_st,Homo sapiens,hsa-mir-1915,5.09068,Group 1 up vs Group 2
3809,MI0014157_st,Homo sapiens,hsa-mir-466,2.32495,Group 1 up vs Group 2
3850,MI0014189_x_st,Homo sapiens,hsa-mir-3160-1,2.15361,Group 1 up vs Group 2
3887,MI0014227_st,Homo sapiens,hsa-mir-3185,4.5969,Group 1 up vs Group 2
3894,MI0014234_x_st,Homo sapiens,hsa-mir-320e,2.2446,Group 1 up vs Group 2
4068,MI0015871_st,Homo sapiens,hsa-mir-4267,2.51725,Group 1 up vs Group 2
4082,MI0015885_st,Homo sapiens,hsa-mir-4281,2.55779,Group 1 up vs Group 2
4137,MI0016014_x_st,Homo sapiens,hsa-mir-3622b,2.17474,Group 1 up vs Group 2
4139,MI0016048_st,Homo sapiens,hsa-mir-3648,7.25233,Group 1 up vs Group 2
4147,MI0016056_st,Homo sapiens,hsa-mir-3656,2.44448,Group 1 up vs Group 2
4177,MI0016088_st,Homo sapiens,hsa-mir-3687,11.0731,Group 1 up vs Group 2
4180,MI0016090_x_st,Homo sapiens,hsa-mir-3689a,59.8125,Group 1 up vs Group 2
4188,MI0016410_st,Homo sapiens,hsa-mir-3907,2.23974,Group 1 up vs Group 2
4189,MI0016411_st,Homo sapiens,hsa-mir-3689b,5.568,Group 1 up vs Group 2
4190,MI0016411_x_st,Homo sapiens,hsa-mir-3689b,9.95531,Group 1 up vs Group 2
4241,MI0016686_s_st,Homo sapiens,hsa-mir-550b-1,2.45496,Group 1 up vs Group 2
4242,MI0016687_s_st,Homo sapiens,hsa-mir-550b-2,2.45496,Group 1 up vs Group 2
4253,MI0016753_st,Homo sapiens,hsa-mir-4417,2.05683,Group 1 up vs Group 2
4282,MI0016783_st,Homo sapiens,hsa-mir-4440,2.01681,Group 1 up vs Group 2
4283,MI0016783_x_st,Homo sapiens,hsa-mir-4440,2.01681,Group 1 up vs Group 2
4291,MI0016792_st,Homo sapiens,hsa-mir-4449,7.72624,Group 1 up vs Group 2
4300,MI0016800_st,Homo sapiens,hsa-mir-4454,2.65233,Group 1 up vs Group 2
4333,MI0016832_x_st,Homo sapiens,hsa-mir-3689c,21.1601,Group 1 up vs Group 2
4335,MI0016834_s_st,Homo sapiens,hsa-mir-3689d-1,4.33127,Group 1 up vs Group 2
4336,MI0016835_s_st,Homo sapiens,hsa-mir-3689d-2,4.33127,Group 1 up vs Group 2
4338,MI0016837_x_st,Homo sapiens,hsa-mir-3689f,27.1345,Group 1 up vs Group 2
4358,MI0016855_st,Homo sapiens,hsa-mir-4493,2.035,Group 1 up vs Group 2
4385,MI0016882_st,Homo sapiens,hsa-mir-4516,2.40987,Group 1 up vs Group 2
4387,MI0016884_st,Homo sapiens,hsa-mir-4518,2.20442,Group 1 up vs Group 2
4394,MI0016890_st,Homo sapiens,hsa-mir-4523,2.44934,Group 1 up vs Group 2
4396,MI0016892_st,Homo sapiens,hsa-mir-4525,2.32495,Group 1 up vs Group 2
4414,MI0016908_st,Homo sapiens,hsa-mir-4537,12.3566,Group 1 up vs Group 2
4415,MI0016909_st,Homo sapiens,hsa-mir-4538,8.55172,Group 1 up vs Group 2
4416,MI0016910_st,Homo sapiens,hsa-mir-4539,20.1693,Group 1 up vs Group 2
4447,MI0017261_st,Homo sapiens,hsa-mir-4634,2.85078,Group 1 up vs Group 2
4460,MI0017274_st,Homo sapiens,hsa-mir-4647,5.59083,Group 1 up vs Group 2
4461,MI0017275_st,Homo sapiens,hsa-mir-4648,5.65255,Group 1 up vs Group 2
4470,MI0017284_st,Homo sapiens,hsa-mir-4656,5.34536,Group 1 up vs Group 2
4488,MI0017300_st,Homo sapiens,hsa-mir-4669,2.035,Group 1 up vs Group 2
4559,MI0017367_st,Homo sapiens,hsa-mir-4730,21.4683,Group 1 up vs Group 2
4572,MI0017379_st,Homo sapiens,hsa-mir-4741,9.57632,Group 1 up vs Group 2
4602,MI0017408_st,Homo sapiens,hsa-mir-4767,3.23398,Group 1 up vs Group 2
4631,MI0017429_st,Homo sapiens,hsa-mir-4784,3.15018,Group 1 up vs Group 2
4632,MI0017430_st,Homo sapiens,hsa-mir-4785,2.94381,Group 1 up vs Group 2
4651,MI0017448_st,Homo sapiens,hsa-mir-4800,2.52376,Group 1 up vs Group 2
4680,MI0018001_st,Homo sapiens,hsa-mir-5095,10.7131,Group 1 up vs Group 2
4726,MI0018170_st,Homo sapiens,hsa-mir-5191,2.23974,Group 1 up vs Group 2
4837,MI0020348_st,Homo sapiens,hsa-mir-6071,2.15361,Group 1 up vs Group 2
4854,MI0020366_s_st,Homo sapiens,hsa-mir-6089-1,2.87037,Group 1 up vs Group 2
4870,MI0021472_st,Homo sapiens,hsa-mir-6165,2.32495,Group 1 up vs Group 2
5029,MI0022217_st,Homo sapiens,hsa-mir-6505,2.11242,Group 1 up vs Group 2
5033,MI0022221_st,Homo sapiens,hsa-mir-6509,2.21932,Group 1 up vs Group 2
5058,MI0022558_st,Homo sapiens,hsa-mir-6723,14.1481,Group 1 up vs Group 2
5063,MI0022572_st,Homo sapiens,hsa-mir-6727,2.23974,Group 1 up vs Group 2
5066,MI0022574_st,Homo sapiens,hsa-mir-6729,3.15331,Group 1 up vs Group 2
5067,MI0022575_st,Homo sapiens,hsa-mir-6730,14.4008,Group 1 up vs Group 2
5073,MI0022581_st,Homo sapiens,hsa-mir-6736,9.02389,Group 1 up vs Group 2
5082,MI0022591_st,Homo sapiens,hsa-mir-6746,3.68223,Group 1 up vs Group 2
5101,MI0022610_st,Homo sapiens,hsa-mir-6765,3.955,Group 1 up vs Group 2
5106,MI0022615_s_st,Homo sapiens,hsa-mir-6770-1,3.09818,Group 1 up vs Group 2
5126,MI0022635_st,Homo sapiens,hsa-mir-6790,2.23974,Group 1 up vs Group 2
5132,MI0022641_st,Homo sapiens,hsa-mir-6796,2.13117,Group 1 up vs Group 2
5136,MI0022645_st,Homo sapiens,hsa-mir-6800,2.20618,Group 1 up vs Group 2
5141,MI0022649_st,Homo sapiens,hsa-mir-6804,6.38665,Group 1 up vs Group 2
5151,MI0022659_st,Homo sapiens,hsa-mir-6814,2.83237,Group 1 up vs Group 2
5164,MI0022672_st,Homo sapiens,hsa-mir-6827,2.11242,Group 1 up vs Group 2
5188,MI0022696_st,Homo sapiens,hsa-mir-6850,2.17769,Group 1 up vs Group 2
5196,MI0022704_st,Homo sapiens,hsa-mir-6858,2.57579,Group 1 up vs Group 2
5199,MI0022707_st,Homo sapiens,hsa-mir-6860,2.74433,Group 1 up vs Group 2
5208,MI0022716_st,Homo sapiens,hsa-mir-6869,12.3474,Group 1 up vs Group 2
5211,MI0022719_st,Homo sapiens,hsa-mir-6872,2.24032,Group 1 up vs Group 2
5215,MI0022723_st,Homo sapiens,hsa-mir-6876,2.47656,Group 1 up vs Group 2
5232,MI0022740_st,Homo sapiens,hsa-mir-6893,2.21932,Group 1 up vs Group 2
5447,MI0022965_st,Homo sapiens,hsa-mir-7114,4.30612,Group 1 up vs Group 2
5455,MI0023563_s_st,Homo sapiens,hsa-mir-6089-2,2.87037,Group 1 up vs Group 2
5624,MI0025908_st,Homo sapiens,hsa-mir-8072,3.06039,Group 1 up vs Group 2
5627,MI0025911_st,Homo sapiens,hsa-mir-8075,2.89503,Group 1 up vs Group 2
5628,MI0025911_x_st,Homo sapiens,hsa-mir-8075,2.83237,Group 1 up vs Group 2
5631,MI0025914_st,Homo sapiens,hsa-mir-8078,5.60135,Group 1 up vs Group 2
5687,MI0026418_s_st,Homo sapiens,hsa-mir-6770-2,3.09818,Group 1 up vs Group 2
5688,MI0026419_s_st,Homo sapiens,hsa-mir-6770-3,3.09818,Group 1 up vs Group 2
5752,MIMAT0000064_st,Homo sapiens,hsa-let-7c-5p,4.76569,Group 1 up vs Group 2
5756,MIMAT0000068_st,Homo sapiens,hsa-miR-15a-5p,-7.08578,Group 1 down vs Group 2
5757,MIMAT0000069_st,Homo sapiens,hsa-miR-16-5p,-6.85789,Group 1 down vs Group 2
5758,MIMAT0000070_st,Homo sapiens,hsa-miR-17-5p,-3.07681,Group 1 down vs Group 2
5760,MIMAT0000072_st,Homo sapiens,hsa-miR-18a-5p,-16.6896,Group 1 down vs Group 2
5762,MIMAT0000074_st,Homo sapiens,hsa-miR-19b-3p,-20.6161,Group 1 down vs Group 2
5763,MIMAT0000075_st,Homo sapiens,hsa-miR-20a-5p,-6.82008,Group 1 down vs Group 2
5765,MIMAT0000077_st,Homo sapiens,hsa-miR-22-3p,-29.5592,Group 1 down vs Group 2
5766,MIMAT0000078_st,Homo sapiens,hsa-miR-23a-3p,-298.718,Group 1 down vs Group 2
5768,MIMAT0000080_st,Homo sapiens,hsa-miR-24-3p,-15.3361,Group 1 down vs Group 2
5769,MIMAT0000081_st,Homo sapiens,hsa-miR-25-3p,-7.22162,Group 1 down vs Group 2
5770,MIMAT0000082_st,Homo sapiens,hsa-miR-26a-5p,-3.19117,Group 1 down vs Group 2
5772,MIMAT0000084_st,Homo sapiens,hsa-miR-27a-3p,-128.194,Group 1 down vs Group 2
5773,MIMAT0000085_st,Homo sapiens,hsa-miR-28-5p,-23.6273,Group 1 down vs Group 2
5774,MIMAT0000086_st,Homo sapiens,hsa-miR-29a-3p,-20.5433,Group 1 down vs Group 2
5775,MIMAT0000087_st,Homo sapiens,hsa-miR-30a-5p,-102.837,Group 1 down vs Group 2
5776,MIMAT0000088_st,Homo sapiens,hsa-miR-30a-3p,-18.4873,Group 1 down vs Group 2
5777,MIMAT0000089_st,Homo sapiens,hsa-miR-31-5p,-163.539,Group 1 down vs Group 2
5786,MIMAT0000098_st,Homo sapiens,hsa-miR-100-5p,-48.0321,Group 1 down vs Group 2
5788,MIMAT0000100_st,Homo sapiens,hsa-miR-29b-3p,-2.33236,Group 1 down vs Group 2
5789,MIMAT0000101_st,Homo sapiens,hsa-miR-103a-3p,-3.32099,Group 1 down vs Group 2
5791,MIMAT0000103_st,Homo sapiens,hsa-miR-106a-5p,-3.66025,Group 1 down vs Group 2
5792,MIMAT0000104_st,Homo sapiens,hsa-miR-107,-2.8315,Group 1 down vs Group 2
5910,MIMAT0000222_st,Homo sapiens,hsa-miR-192-5p,-4.34485,Group 1 down vs Group 2
5932,MIMAT0000244_st,Homo sapiens,hsa-miR-30c-5p,-46.4486,Group 1 down vs Group 2
5933,MIMAT0000245_st,Homo sapiens,hsa-miR-30d-5p,-8.00669,Group 1 down vs Group 2
5938,MIMAT0000250_st,Homo sapiens,hsa-miR-139-5p,-7.06012,Group 1 down vs Group 2
5941,MIMAT0000253_st,Homo sapiens,hsa-miR-10a-5p,-2.40987,Group 1 down vs Group 2
5943,MIMAT0000255_st,Homo sapiens,hsa-miR-34a-5p,2.20442,Group 1 up vs Group 2
5944,MIMAT0000256_st,Homo sapiens,hsa-miR-181a-5p,-62.736,Group 1 down vs Group 2
5945,MIMAT0000257_st,Homo sapiens,hsa-miR-181b-5p,-26.2487,Group 1 down vs Group 2
5955,MIMAT0000267_st,Homo sapiens,hsa-miR-210-3p,-7.6153,Group 1 down vs Group 2
5958,MIMAT0000270_st,Homo sapiens,hsa-miR-181a-3p,-3.51104,Group 1 down vs Group 2
5965,MIMAT0000278_st,Homo sapiens,hsa-miR-221-3p,-4.59012,Group 1 down vs Group 2
5966,MIMAT0000279_st,Homo sapiens,hsa-miR-222-3p,-2.20808,Group 1 down vs Group 2
6005,MIMAT0000318_st,Homo sapiens,hsa-miR-200b-3p,-2.1204,Group 1 down vs Group 2
6100,MIMAT0000414_st,Homo sapiens,hsa-let-7g-5p,-5.73937,Group 1 down vs Group 2
6101,MIMAT0000415_st,Homo sapiens,hsa-let-7i-5p,-37.751,Group 1 down vs Group 2
6103,MIMAT0000417_st,Homo sapiens,hsa-miR-15b-5p,-8.12955,Group 1 down vs Group 2
6104,MIMAT0000418_st,Homo sapiens,hsa-miR-23b-3p,-14.2403,Group 1 down vs Group 2
6105,MIMAT0000419_st,Homo sapiens,hsa-miR-27b-3p,-18.5181,Group 1 down vs Group 2
6106,MIMAT0000420_st,Homo sapiens,hsa-miR-30b-5p,-6.29873,Group 1 down vs Group 2
6109,MIMAT0000423_st,Homo sapiens,hsa-miR-125b-5p,2.83267,Group 1 up vs Group 2
6111,MIMAT0000425_st,Homo sapiens,hsa-miR-130a-3p,-6.50361,Group 1 down vs Group 2
6112,MIMAT0000426_st,Homo sapiens,hsa-miR-132-3p,-4.59846,Group 1 down vs Group 2
6116,MIMAT0000430_st,Homo sapiens,hsa-miR-138-5p,-26.8973,Group 1 down vs Group 2
6118,MIMAT0000432_st,Homo sapiens,hsa-miR-141-3p,3.93047,Group 1 up vs Group 2
6124,MIMAT0000438_st,Homo sapiens,hsa-miR-152-3p,-19.2276,Group 1 down vs Group 2
6129,MIMAT0000443_st,Homo sapiens,hsa-miR-125a-5p,-2.16321,Group 1 down vs Group 2
6135,MIMAT0000449_st,Homo sapiens,hsa-miR-146a-5p,-6.34671,Group 1 down vs Group 2
6141,MIMAT0000455_st,Homo sapiens,hsa-miR-185-5p,-3.47413,Group 1 down vs Group 2
6146,MIMAT0000460_st,Homo sapiens,hsa-miR-194-5p,-7.15717,Group 1 down vs Group 2
6147,MIMAT0000461_st,Homo sapiens,hsa-miR-195-5p,-4.16031,Group 1 down vs Group 2
6301,MIMAT0000617_st,Homo sapiens,hsa-miR-200c-3p,392.987,Group 1 up vs Group 2
6329,MIMAT0000646_st,Homo sapiens,hsa-miR-155-5p,-182.515,Group 1 down vs Group 2
6361,MIMAT0000680_st,Homo sapiens,hsa-miR-106b-5p,-15.8039,Group 1 down vs Group 2
6363,MIMAT0000682_st,Homo sapiens,hsa-miR-200a-3p,-6.51701,Group 1 down vs Group 2
6384,MIMAT0000703_st,Homo sapiens,hsa-miR-361-5p,-3.39727,Group 1 down vs Group 2
6429,MIMAT0000751_st,Homo sapiens,hsa-miR-330-3p,-3.54871,Group 1 down vs Group 2
6435,MIMAT0000757_st,Homo sapiens,hsa-miR-151a-3p,-40.0751,Group 1 down vs Group 2
6438,MIMAT0000760_st,Homo sapiens,hsa-miR-331-3p,-3.6964,Group 1 down vs Group 2
6439,MIMAT0000761_st,Homo sapiens,hsa-miR-324-5p,-4.3989,Group 1 down vs Group 2
6440,MIMAT0000762_st,Homo sapiens,hsa-miR-324-3p,-4.33596,Group 1 down vs Group 2
6442,MIMAT0000764_st,Homo sapiens,hsa-miR-339-5p,-3.22172,Group 1 down vs Group 2
6451,MIMAT0000773_st,Homo sapiens,hsa-miR-346,5.74105,Group 1 up vs Group 2
6746,MIMAT0001080_st,Homo sapiens,hsa-miR-196b-5p,-3.11273,Group 1 down vs Group 2
7001,MIMAT0001340_st,Homo sapiens,hsa-miR-423-3p,-5.96984,Group 1 down vs Group 2
7073,MIMAT0001412_st,Homo sapiens,hsa-miR-18b-5p,-2.74433,Group 1 down vs Group 2
7074,MIMAT0001413_st,Homo sapiens,hsa-miR-20b-5p,-13.6438,Group 1 down vs Group 2
7244,MIMAT0001620_st,Homo sapiens,hsa-miR-200a-5p,-2.02635,Group 1 down vs Group 2
8419,MIMAT0002819_st,Homo sapiens,hsa-miR-193b-3p,-2.31078,Group 1 down vs Group 2
8473,MIMAT0002874_st,Homo sapiens,hsa-miR-503-5p,-5.53108,Group 1 down vs Group 2
8487,MIMAT0002888_st,Homo sapiens,hsa-miR-532-5p,-3.00311,Group 1 down vs Group 2
8857,MIMAT0003263_st,Homo sapiens,hsa-miR-595,8.00791,Group 1 up vs Group 2
8858,MIMAT0003264_st,Homo sapiens,hsa-miR-596,2.11242,Group 1 up vs Group 2
8872,MIMAT0003278_st,Homo sapiens,hsa-miR-610,2.45496,Group 1 up vs Group 2
8888,MIMAT0003294_st,Homo sapiens,hsa-miR-625-5p,-2.50503,Group 1 down vs Group 2
8901,MIMAT0003307_st,Homo sapiens,hsa-miR-637,2.51725,Group 1 up vs Group 2
8902,MIMAT0003308_st,Homo sapiens,hsa-miR-638,2.11889,Group 1 up vs Group 2
8916,MIMAT0003322_st,Homo sapiens,hsa-miR-652-3p,-2.02476,Group 1 down vs Group 2
8932,MIMAT0003339_st,Homo sapiens,hsa-miR-421,-5.78886,Group 1 down vs Group 2
8982,MIMAT0003389_st,Homo sapiens,hsa-miR-542-3p,-2.23974,Group 1 down vs Group 2
8986,MIMAT0003393_st,Homo sapiens,hsa-miR-425-5p,-9.01569,Group 1 down vs Group 2
9462,MIMAT0003880_st,Homo sapiens,hsa-miR-671-5p,-2.44582,Group 1 down vs Group 2
9974,MIMAT0004450_st,Homo sapiens,hsa-miR-297,158.082,Group 1 up vs Group 2
10018,MIMAT0004496_st,Homo sapiens,hsa-miR-23a-5p,-3.54419,Group 1 down vs Group 2
10020,MIMAT0004498_st,Homo sapiens,hsa-miR-25-5p,-2.93045,Group 1 down vs Group 2
10023,MIMAT0004501_st,Homo sapiens,hsa-miR-27a-5p,-4.04753,Group 1 down vs Group 2
10024,MIMAT0004502_st,Homo sapiens,hsa-miR-28-3p,-5.05415,Group 1 down vs Group 2
10029,MIMAT0004507_st,Homo sapiens,hsa-miR-92a-1-5p,-7.22162,Group 1 down vs Group 2
10031,MIMAT0004509_st,Homo sapiens,hsa-miR-93-3p,-2.33593,Group 1 down vs Group 2
10072,MIMAT0004550_st,Homo sapiens,hsa-miR-30c-2-3p,-7.26762,Group 1 down vs Group 2
10080,MIMAT0004558_st,Homo sapiens,hsa-miR-181a-2-3p,-9.25348,Group 1 down vs Group 2
10119,MIMAT0004597_st,Homo sapiens,hsa-miR-140-3p,-4.58322,Group 1 down vs Group 2
10124,MIMAT0004602_st,Homo sapiens,hsa-miR-125a-3p,-2.75603,Group 1 down vs Group 2
10125,MIMAT0004603_st,Homo sapiens,hsa-miR-125b-2-3p,12.5552,Group 1 up vs Group 2
10131,MIMAT0004609_st,Homo sapiens,hsa-miR-149-3p,7.73497,Group 1 up vs Group 2
10137,MIMAT0004615_st,Homo sapiens,hsa-miR-195-3p,22.0274,Group 1 up vs Group 2
10194,MIMAT0004672_st,Homo sapiens,hsa-miR-106b-3p,-4.61208,Group 1 down vs Group 2
10219,MIMAT0004697_st,Homo sapiens,hsa-miR-151a-5p,-12.946,Group 1 down vs Group 2
10270,MIMAT0004749_st,Homo sapiens,hsa-miR-424-3p,-15.4534,Group 1 down vs Group 2
10288,MIMAT0004767_st,Homo sapiens,hsa-miR-193b-5p,-3.12178,Group 1 down vs Group 2
10292,MIMAT0004773_st,Homo sapiens,hsa-miR-500a-5p,-2.33593,Group 1 down vs Group 2
10294,MIMAT0004775_st,Homo sapiens,hsa-miR-502-3p,-3.67183,Group 1 down vs Group 2
10297,MIMAT0004778_st,Homo sapiens,hsa-miR-508-5p,2.74433,Group 1 up vs Group 2
10303,MIMAT0004784_st,Homo sapiens,hsa-miR-455-3p,-61.8937,Group 1 down vs Group 2
10311,MIMAT0004792_st,Homo sapiens,hsa-miR-92b-5p,7.33793,Group 1 up vs Group 2
10314,MIMAT0004795_st,Homo sapiens,hsa-miR-574-5p,29.0327,Group 1 up vs Group 2
10436,MIMAT0004926_st,Homo sapiens,hsa-miR-708-5p,-83.8391,Group 1 down vs Group 2
10457,MIMAT0004948_st,Homo sapiens,hsa-miR-885-3p,4.40412,Group 1 up vs Group 2
